Name,User Populariy,User Rating,Global Popularity,Global Rating,misc
Akame ga Kill!,13,6.154,2027536,7.47,1
Angel Densetsu,3,6.333,38698,7.47,2
Black Clover,13,6.154,1591872,8.15,3
Bocchi the Rock!,15,7.133,475176,8.82,4
Boku dake ga Inai Machi,14,7.143,2027978,8.30,5
Boku no Hero Academia,21,5.857,2928604,7.88,6
Boku no Hero Academia 2nd Season,20,6.05,2447161,8.10,7
Boku no Hero Academia 3rd Season,19,6.211,2119182,8.03,8
Boku no Hero Academia 4th Season,16,6.0,1664142,7.90,9
Boku no Hero Academia 5th Season,16,4.812,1125814,7.38,10
Boku no Pico,5,2.8,177834,4.23,11
Bungou Stray Dogs,7,5.571,1336205,7.82,12
Bungou Stray Dogs 2nd Season,4,6.5,822149,8.19,13
Bungou Stray Dogs 3rd Season,3,4.333,601742,8.22,14
Bungou Stray Dogs: Dead Apple,1,5.0,265966,7.92,15
Charlotte,6,5.833,1562031,7.75,16
Chicken Papa,5,3.2,2497,4.18,17
Code Geass: Hangyaku no Lelouch,17,7.824,2183821,8.70,18
Code Geass: Hangyaku no Lelouch R2,15,8.067,1726244,8.91,19
Cowboy Bebop,14,8.071,1803320,8.75,20
Death Note,21,7.81,3775438,8.62,21
Domestic na Kanojo,9,5.0,725155,6.67,22
Dororo,13,7.154,1174026,8.25,23
Dr. Stone,16,7.375,1667130,8.28,24
Dr. Stone: Stone Wars,14,6.929,988788,8.17,25
FLCL,11,7.818,799399,8.03,26
Fugou Keiji: Balance:Unlimited,4,6.75,415448,7.53,27
Fullmetal Alchemist: Brotherhood,18,8.778,3229940,9.10,28
Gakuen Babysitters,3,5.667,326475,7.90,29
Golden Boy,12,7.417,383685,8.04,30
Golden Kamuy,4,8.5,372338,7.88,31
Golden Time,5,7.0,1008362,7.74,32
Grand Blue,10,7.9,747909,8.43,33
Great Teacher Onizuka,8,8.0,800735,8.69,34
Haikyuu!!,11,7.455,1902910,8.44,35
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,7,7.714,1161625,8.78,36
Haikyuu!! Second Season,7,7.857,1383175,8.63,37
Haikyuu!! To the Top,6,7.667,896918,8.36,38
Haikyuu!! To the Top Part 2,5,7.4,775887,8.55,39
Hataraku Maou-sama!,7,7.0,1526786,7.74,40
Horimiya,10,6.2,1296597,8.20,41
Hunter x Hunter (2011),19,7.842,2713203,9.04,42
"Ijiranaide, Nagatoro-san",11,5.364,769227,7.28,43
Itsudatte Bokura no Koi wa 10 cm Datta.,1,8.0,221495,7.46,44
Jibaku Shounen Hanako-kun,4,6.0,568540,7.84,45
JoJo no Kimyou na Bouken (TV),17,7.0,1603250,7.89,46
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,15,6.867,1172156,8.10,47
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,13,7.769,1071695,8.44,48
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,12,8.083,1079334,8.50,49
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,12,7.0,980566,8.58,50
JoJo no Kimyou na Bouken Part 6: Stone Ocean,11,6.545,468739,8.16,51
Jujutsu Kaisen,19,7.105,2345282,8.63,52
K-On!,3,7.333,1027555,7.85,53
K-On!: Live House!,1,8.0,157804,7.84,54
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,15,7.733,1669337,8.41,55
Kaguya-sama wa Kokurasetai: Ultra Romantic,13,7.692,858916,9.04,56
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,14,7.429,1286919,8.64,57
Kimetsu no Yaiba,21,6.381,2885480,8.49,58
Kimetsu no Yaiba Movie: Mugen Ressha-hen,12,7.083,1451780,8.61,59
Kimetsu no Yaiba: Mugen Ressha-hen,13,6.538,677490,8.39,60
Kimetsu no Yaiba: Yuukaku-hen,16,7.312,1314251,8.78,61
Kimi ni Todoke,1,5.0,911006,8.00,62
Kimi no Na wa.,18,7.611,2645563,8.84,63
Kimi no Suizou wo Tabetai,11,7.727,920281,8.55,64
Kiseijuu: Sei no Kakuritsu,18,7.944,1810361,8.33,65
Kiss x Sis,3,4.0,323421,6.83,66
Kiss x Sis (TV),2,3.0,565463,6.60,67
Koe no Katachi,16,7.375,2237898,8.94,68
"Komi-san wa, Comyushou desu.",15,5.333,837164,7.90,69
Kono Subarashii Sekai ni Shukufuku wo!,16,7.0,1893740,8.11,70
Kono Subarashii Sekai ni Shukufuku wo! 2,12,7.5,1461927,8.26,71
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,9,7.333,742388,8.44,72
Maoujou de Oyasumi,4,6.5,203436,7.98,73
Masamune-kun no Revenge,5,5.2,851601,6.74,74
Mob Psycho 100,17,7.294,1995182,8.49,75
Mob Psycho 100 II,15,8.4,1464982,8.80,76
