Studio,Populariy,Rating,Unique anime
White Fox,124,7.169,20
Toei Animation,144,5.688,89
Pierrot,214,5.93,48
CloverWorks,110,6.564,19
A-1 Pictures,320,6.263,79
Bones,311,6.434,64
Sugar Boy,5,2.8,1
P.A. Works,48,6.208,14
Sunrise,122,7.5,45
Madhouse,382,7.113,98
Diomedéa,26,5.5,11
Tezuka Productions,37,6.676,8
TMS Entertainment,110,6.245,41
Gainax,60,7.833,9
Brain's Base,60,6.983,21
APPP,15,7.533,4
Geno Studio,10,8.1,5
J.C.Staff,222,6.626,81
Zero-G,18,6.944,5
Production I.G,167,7.048,73
Telecom Animation Film,17,6.0,4
Lay-duce,14,7.286,6
Lerche,75,6.2,21
David Production,131,6.962,19
MAPPA,184,7.245,29
Kyoto Animation,131,7.076,44
ufotable,174,6.879,29
CoMix Wave Films,44,6.659,8
Studio VOLN,12,7.583,2
feel.,33,5.364,17
OLM,76,6.158,20
Studio Deen,117,6.12,39
Doga Kobo,47,5.489,21
SILVER LINK.,61,5.787,34
Studio Bind,43,6.977,6
Seven,11,4.091,9
ILCA,8,4.125,4
Fanworks,3,6.333,1
Wit Studio,208,7.514,26
Manglobe,37,6.838,11
Studio Ghibli,63,7.46,17
8bit,60,6.25,16
LIDENFILMS,58,5.793,21
Seven Arcs,16,5.5,8
ENGI,16,5.562,7
Pierrot Plus,5,5.8,1
TNK,28,4.857,8
Satelight,28,5.714,14
Okuruto Noboru,13,5.846,2
Polygon Pictures,21,6.762,12
Shaft,122,7.352,33
Trigger,44,7.0,15
Arms,11,6.545,2
Khara,29,7.276,5
Digital Frontier,4,6.75,2
Radix,8,6.75,3
Orange,17,7.235,4
Studio Hibari,7,5.857,4
Kinema Citrus,48,7.188,9
asread.,26,5.0,7
Triangle Staff,11,8.0,3
LAN Studio,20,7.65,3
TROYCA,9,5.778,6
Nut,10,7.4,3
Shuka,14,8.286,4
Tokyo Movie Shinsha,14,7.5,4
Nippon Animation,17,5.941,13
Studio 4°C,20,7.0,7
SynergySP,6,5.5,6
Science SARU,19,5.895,8
Yumeta Company,9,7.0,5
Bandai Namco Pictures,28,7.0,11
Passione,22,5.409,9
Larx Entertainment,5,6.4,3
Artland,11,6.0,8
A.C.G.T.,6,5.833,5
Tatsunoko Production,15,6.2,8
Gonzo,41,6.195,22
Xebec,29,6.0,21
Bee Train,6,4.667,4
Gallop,11,7.091,9
Staple Entertainment,2,5.5,2
GoHands,9,6.111,7
OLM Team Yoshioka,2,5.0,1
Ezόla,4,6.75,2
Millepensee,17,3.706,6
Studio Elle,2,2.5,2
Studio Gokumi,10,4.2,5
Studio Palette,3,5.333,1
AIC Classic,2,6.5,1
Maho Film,4,5.75,4
Connect,7,6.286,4
Studio Comet,7,5.857,7
Hoods Entertainment,10,7.5,4
Studio Blanc.,3,8.0,2
Yokohama Animation Lab,2,6.5,2
BUG FILMS,5,7.6,1
Graphinica,11,5.455,4
Felix Film,5,6.0,2
AIC PLUS+,5,6.0,3
Studio Colorido,5,5.6,3
AtelierPontdarc,6,7.5,2
DLE,7,4.0,4
Cloud Hearts,2,5.5,1
Daume,6,6.5,4
NAZ,9,6.222,4
Quad,5,1.0,1
Ajia-do,14,6.0,8
Drive,9,6.556,2
Bibury Animation Studios,12,5.167,3
C2C,14,6.214,7
AIC Spirits,5,5.8,2
Wolfsbane,2,3.5,1
Kamikaze Douga,4,5.75,2
EMT Squared,10,5.0,7
Nomad,3,4.667,2
Geek Toys,11,5.455,8
Haoliners Animation League,7,5.0,2
AIC,12,6.583,11
Shin-Ei Animation,31,4.258,24
Silver,2,6.0,2
Mippei Eigeki Kiryuukan,6,2.0,1
Nexus,11,5.818,2
Production IMS,3,5.333,2
Encourage Films,2,6.5,2
PINE JAM,9,4.778,3
Majin,2,3.5,2
Signal.MD,5,4.6,3
K-Factory,1,10.0,1
RAMS,1,1.0,1
