Name,Action,Fantasy,Comedy,Drama,Adventure,School,Supernatural,Sci-Fi,Romance,Psychological,Gore,Mystery,Super Power,Adult Cast,Suspense,Award Winning,Horror,Military,Isekai,Historical,Ecchi,Survival,Harem,Mecha,Parody,Time Travel,Reincarnation,Mythology,Gag Humor,Vampire,Sports,Romantic Subtext,Martial Arts,Organized Crime,Avant Garde,Samurai,Slice of Life,Team Sports,Music,Detective,High Stakes Game,Love Polygon,Otaku Culture,Video Game,Space,Strategy Game,Childcare,Workplace,CGDCT,Anthropomorphic,Hentai,Delinquents,Iyashikei,Combat Sports,Gourmet,Mahou Shoujo,Erotica,Showbiz,Visual Arts,Girls Love,Racing,Magical Sex Shift,Medical,Boys Love,Performing Arts,Idols (Female),Educational,Reverse Harem,Pets,Crossdressing
1Igo,4.83,4.35,3.86,3.53,3.68,4.04,2.38,1.96,2.97,2.27,2.49,1.72,1.92,1.66,1.89,1.45,1.82,1.96,2.3,0.93,2.07,1.45,1.82,1.17,1.21,1.22,1.6,1.69,1.17,1.01,1.57,1.55,1.11,0.71,0.87,0,0.8,0.84,0.9,0.74,1.09,1.36,1.05,1.22,0.59,1.12,0.7,1.04,0.65,0.67,0,0.79,0.34,1.31,1.08,0.52,0,0,0.39,0,0,0,0.48,0,0.34,0.34,0.48,0.34,0,0
Achmetha0626,5.29,4.76,4.6,3.3,3.5,3.83,3.78,2.19,4.25,2.43,3.0,2.86,2.27,2.25,1.88,1.13,2.23,2.01,2.58,0,1.76,1.04,1.51,1.06,1.74,1.2,2.23,2.0,1.0,1.7,0.9,1.79,1.8,1.0,0,0,0.7,0,0.8,1.56,0.71,1.57,0.9,1.15,0,0.7,0,1.0,1.0,0,0,0,0,0.9,0.9,0,0,0,0.8,1.13,0,0.6,0,0,0,0,0,0,0,0
Ashley___,5.5,3.65,3.02,4.2,3.73,2.98,3.13,3.02,2.59,2.85,2.76,2.28,2.59,2.31,2.18,2.68,2.01,2.25,0.98,1.95,1.4,1.81,0.45,2.28,1.12,0.88,0.74,0.84,1.09,0.5,1.59,1.16,1.49,1.49,1.61,0.7,0.65,1.59,0.84,1.2,0.6,0.98,1.01,1.06,0.56,0.84,1.19,1.05,0.56,0.49,0,0.63,0.84,0,0,0,0,0.56,0.56,0.42,0,0,0,0,0,0,0,0,0,0
Bolobos,3.86,2.42,2.65,3.59,2.74,2.14,2.17,3.11,2.63,2.69,2.22,2.34,1.24,2.55,2.24,2.15,1.71,2.02,0.73,1.83,1.25,1.36,0.62,2.05,0.57,1.24,0.24,1.11,1.09,0.84,1.22,0.99,1.13,1.09,0.77,1.06,0.6,0.58,0.99,1.29,1.02,1.05,0.92,0.34,1.42,0.95,0.41,0.71,0.16,0.22,0.05,0.41,0.6,0.99,0.56,0.95,0,0.34,0,0.3,0.71,0,0,0.05,0.19,0,0,0,0,0
Bugsbunnyfake,1.94,1.32,1.85,1.58,1.44,0.97,1.76,1.59,0.87,1.6,0.87,1.79,0.7,1.05,1.24,1.21,0.75,0.44,0.38,1.21,0.74,0.57,0.33,0.74,0.95,0.62,0.38,0.67,0.91,1.18,0.18,0.39,0.29,0.38,0.99,1.0,0.12,0,0.48,0.62,0.34,0.12,0.08,0,0.35,0.2,0,0.23,0.58,0.41,0.22,0.23,0,0.1,0,0.47,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0
Darconic,5.41,3.71,3.53,4.13,3.71,3.09,3.16,3.05,2.06,2.66,2.55,2.0,2.58,2.53,2.13,2.52,1.6,2.1,1.19,2.64,1.22,1.73,0,1.4,1.91,1.55,0.56,1.42,2.17,0.85,2.27,1.17,0.95,1.36,1.24,1.94,0.69,1.62,1.07,0.84,1.12,1.13,0.65,0.8,0.49,1.51,1.05,0.88,0.55,0.98,0,0.6,0.84,1.06,0,0,0.3,0.55,0.85,0,0.49,0,0,0,0.65,0,0,0,0,0
EyeSiN,6.33,3.72,3.21,4.47,2.08,3.67,3.72,2.0,2.17,3.26,3.97,2.65,2.33,2.65,2.7,1.96,2.04,2.78,0,2.78,1.23,2.7,0,1.19,1.27,1.56,0.79,1.43,0,2.21,1.01,1.49,0,0.9,0,0,0,1.01,0,1.13,1.49,0.9,0,0,0,0.56,1.27,0,0,0.56,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0
im_berny,5.06,4.53,4.21,3.19,3.35,3.3,2.32,2.59,2.3,2.07,1.96,1.25,3.08,1.82,1.84,1.46,0.81,1.79,2.78,1.29,2.17,1.89,1.47,1.32,2.05,1.5,2.15,1.12,1.38,0.78,0.73,1.23,0.44,0.57,0.68,0.52,1.09,0.73,0.52,0.52,0,0,0.89,0.66,0.37,0,0.94,0.77,1.07,0.92,0,0,0.59,0,0,0.37,0.85,0.52,0.57,0,0,0.59,0,0,0,0,0,0,0,0
Kewpie2001,4.58,3.95,3.89,3.46,3.3,3.19,2.91,2.96,2.73,1.91,1.82,2.41,1.65,2.09,1.73,1.69,1.46,2.1,2.04,1.98,1.57,1.37,1.61,1.44,1.41,1.26,1.42,1.31,1.54,1.03,0.62,1.08,0.5,0.99,0.76,1.14,1.24,0.52,1.11,1.08,0.58,0.98,0.95,1.03,1.33,0.58,0.97,0.93,1.19,0.84,0.31,0.54,0.78,0,0.64,0.71,0.44,0.5,0.32,0.36,0.28,0.4,0.45,0.12,0.17,0.43,0.38,0.3,0,0.24
Kiriyama_Rei18,4.74,3.74,3.66,3.65,3.5,2.16,3.26,2.86,1.9,2.18,2.07,2.5,2.03,1.86,1.95,2.13,1.01,1.69,1.64,2.16,1.42,1.82,0.25,1.23,1.71,1.94,1.5,0.75,1.57,1.57,0.92,1.11,1.18,1.0,1.05,1.44,1.14,0.92,1.22,0.61,0.5,0,0.74,0.35,0.41,0.89,1.13,0.65,0.47,0.75,0.35,0.68,0.79,0,0.3,0,0.41,0.63,0,0,0.47,0,0,0,0,0.41,0.24,0,0.35,0
